id,name,field,subfield,works_count,subfield_id
T11512,Anomaly Detection Techniques and Applications,Unknown,Unknown,216965,1702
T13623,Linguistic Studies and Language Acquisition,Unknown,Unknown,189286,1702
T11269,Algorithms and Data Compression,Unknown,Unknown,171282,1702
T11010,"Logic, Reasoning, and Knowledge",Unknown,Unknown,169747,1702
T10201,Speech Recognition and Synthesis,Unknown,Unknown,164759,1702
T11130,Coding theory and cryptography,Unknown,Unknown,162592,1702
T10126,"Logic, programming, and type systems",Unknown,Unknown,162248,1702
T10001,Geological and Geochemical Analysis,Unknown,Unknown,159900,1702
T10682,Quantum Computing Algorithms and Architecture,Unknown,Unknown,158255,1702
T10237,Cryptography and Data Security,Unknown,Unknown,152109,1702
T10862,AI in cancer detection,Unknown,Unknown,152077,1702
T13018,Seismology and Earthquake Studies,Unknown,Unknown,151249,1702
T13602,Educational Methods and Media Use,Unknown,Unknown,560131,1710
T10679,Service-Oriented Architecture and Web Services,Unknown,Unknown,304550,1710
T13565,Education and Learning Interventions,Unknown,Unknown,247986,1710
T14430,Higher Education and Teaching Methods,Unknown,Unknown,233993,1710
T10101,Cloud Computing and Resource Management,Unknown,Unknown,231322,1710
T12863,Web and Library Services,Unknown,Unknown,216728,1710
T13913,Blockchain Technology in Education and Learning,Unknown,Unknown,210690,1710
T14216,Multimedia Learning Systems,Unknown,Unknown,209674,1710
T10260,Software Engineering Research,Unknown,Unknown,204134,1710
T14409,Educational Systems and Policies,Unknown,Unknown,192831,1710
T13559,Edcuational Technology Systems,Unknown,Unknown,184399,1710
T10270,Blockchain Technology Applications and Security,Unknown,Unknown,182431,1710
T12395,Educational Innovations and Technology,Unknown,Unknown,168643,1710
T10538,Data Mining Algorithms and Applications,Unknown,Unknown,163844,1710
T12408,Educational Innovations and Challenges,Unknown,Unknown,158638,1710
T13832,Advanced Decision-Making Techniques,Unknown,Unknown,151260,1710
T10430,Software Engineering Techniques and Practices,Unknown,Unknown,148018,1710
T13386,Educational Methods and Teacher Development,Unknown,Unknown,146967,1710
T14025,Educational Technology and Assessment,Unknown,Unknown,135411,1710
T12016,Web Data Mining and Analysis,Unknown,Unknown,128949,1710
T11746,Inorganic and Organometallic Chemistry,Unknown,Unknown,393243,1605
T11831,Chemical Synthesis and Reactions,Unknown,Unknown,307822,1605
T12852,Chemical Thermodynamics and Molecular Structure,Unknown,Unknown,276353,1605
T10274,Synthesis and biological activity,Unknown,Unknown,270562,1605
T10911,Chemical Synthesis and Analysis,Unknown,Unknown,264529,1605
T11549,Synthetic Organic Chemistry Methods,Unknown,Unknown,260691,1605
T10092,Organometallic Complex Synthesis and Catalysis,Unknown,Unknown,256174,1605
T10013,Asymmetric Synthesis and Catalysis,Unknown,Unknown,251100,1605
T14099,Synthesis and Characterization of Heterocyclic Compounds,Unknown,Unknown,242518,1605
T10835,Carbohydrate Chemistry and Synthesis,Unknown,Unknown,240688,1605
T13160,Synthesis and Biological Evaluation,Unknown,Unknown,229451,1605
T12527,Chemistry and Stereochemistry Studies,Unknown,Unknown,221582,1605
T11989,Oxidative Organic Chemistry Reactions,Unknown,Unknown,196249,1605
T13124,Chemical synthesis and alkaloids,Unknown,Unknown,190986,1605
T14459,Synthesis and Reactions of Organic Compounds,Unknown,Unknown,188630,1605
T10405,Advanced Polymer Synthesis and Characterization,Unknown,Unknown,175044,1605
T11281,Asymmetric Hydrogenation and Catalysis,Unknown,Unknown,170064,1605
T10354,Catalytic C–H Functionalization Methods,Unknown,Unknown,169399,1605
T12240,Nanomaterials for catalytic reactions,Unknown,Unknown,168744,1605
T10721,Surfactants and Colloidal Systems,Unknown,Unknown,168269,1605
T10002,Advanced Chemical Physics Studies,Unknown,Unknown,527637,3107
T11177,Spectroscopy and Quantum Chemical Studies,Unknown,Unknown,381400,3107
T10022,Semiconductor Quantum Structures and Devices,Unknown,Unknown,339815,3107
T10988,Advanced Fiber Laser Technologies,Unknown,Unknown,312551,3107
T10299,Photonic and Optical Devices,Unknown,Unknown,301597,3107
T11993,Atomic and Subatomic Physics Research,Unknown,Unknown,300317,3107
T10382,Quantum and electron transport phenomena,Unknown,Unknown,297605,3107
T10523,Atomic and Molecular Physics,Unknown,Unknown,285277,3107
T10425,Cold Atom Physics and Bose-Einstein Condensates,Unknown,Unknown,265589,3107
T10622,Quantum Mechanics and Applications,Unknown,Unknown,247138,3107
T10049,Magnetic properties of thin films,Unknown,Unknown,246472,3107
T11853,Semiconductor materials and interfaces,Unknown,Unknown,244835,3107
T11965,"Quantum, superfluid, helium dynamics",Unknown,Unknown,238510,3107
T10923,Force Microscopy Techniques and Applications,Unknown,Unknown,234898,3107
T11449,Mechanical and Optical Resonators,Unknown,Unknown,207335,3107
T10020,Quantum Information and Cryptography,Unknown,Unknown,196303,3107
T10037,Physics of Superconductivity and Magnetism,Unknown,Unknown,188870,3107
T10566,Laser-Matter Interactions and Applications,Unknown,Unknown,184497,3107
T10666,Photonic Crystals and Applications,Unknown,Unknown,178830,3107
T13531,Surface and Thin Film Phenomena,Unknown,Unknown,158863,3107
T10876,Fault Detection and Control Systems,Unknown,Unknown,355973,2207
T13717,Advanced Algorithms and Applications,Unknown,Unknown,318534,2207
T14225,Advanced Sensor and Control Systems,Unknown,Unknown,308258,2207
T14474,Industrial Technology and Control Systems,Unknown,Unknown,305818,2207
T10791,Advanced Control Systems Optimization,Unknown,Unknown,288713,2207
T14270,Simulation and Modeling Applications,Unknown,Unknown,263991,2207
T12206,Vibration and Dynamic Analysis,Unknown,Unknown,252728,2207
T10223,Microgrid Control and Optimization,Unknown,Unknown,248216,2207
T11236,Control Systems and Identification,Unknown,Unknown,172631,2207
T10040,Adaptive Control of Nonlinear Systems,Unknown,Unknown,172347,2207
T12810,Real-time simulation and control systems,Unknown,Unknown,166711,2207
T11602,Magnetic Bearings and Levitation Dynamics,Unknown,Unknown,136130,2207
T13734,Advanced Computational Techniques and Applications,Unknown,Unknown,135418,2207
T14470,Advanced Data Processing Techniques,Unknown,Unknown,134095,2207
T11394,Dynamics and Control of Mechanical Systems,Unknown,Unknown,132226,2207
T10571,Robotic Mechanisms and Dynamics,Unknown,Unknown,132033,2207
T10046,Stability and Control of Uncertain Systems,Unknown,Unknown,127767,2207
T11110,Stability and Controllability of Differential Equations,Unknown,Unknown,126877,2207
T10524,Traffic control and management,Unknown,Unknown,125854,2207
T11749,Iterative Learning Control Systems,Unknown,Unknown,124531,2207
T10715,Distributed and Parallel Computing Systems,Unknown,Unknown,378502,1705
T10400,Network Security and Intrusion Detection,Unknown,Unknown,280000,1705
T12564,Sensor Technology and Measurement Systems,Unknown,Unknown,266300,1705
T10575,Wireless Communication Networks Research,Unknown,Unknown,236574,1705
T10317,Advanced Database Systems and Queries,Unknown,Unknown,222121,1705
T10273,IoT and Edge/Fog Computing,Unknown,Unknown,218657,1705
T11181,Advanced Data Storage Technologies,Unknown,Unknown,207258,1705
T10054,Parallel Computing and Optimization Techniques,Unknown,Unknown,206341,1705
T13807,Cultural Insights and Digital Impacts,Unknown,Unknown,203173,1705
T10796,Cooperative Communication and Network Coding,Unknown,Unknown,199819,1705
T10080,Energy Efficient Wireless Sensor Networks,Unknown,Unknown,195975,1705
T11187,Nonlinear Dynamics and Pattern Formation,Unknown,Unknown,188975,1705
T10101,Cloud Computing and Resource Management,Unknown,Unknown,179797,1705
T10772,Distributed systems and fault tolerance,Unknown,Unknown,178239,1705
T10829,Interconnection Networks and Systems,Unknown,Unknown,174417,1705
T12203,Mobile Agent-Based Network Management,Unknown,Unknown,167857,1705
T10246,Mobile Ad Hoc Networks,Unknown,Unknown,166575,1705
T12127,Software System Performance and Reliability,Unknown,Unknown,165684,1705
T11478,Caching and Content Delivery,Unknown,Unknown,165341,1705
T10125,Advanced Wireless Communication Techniques,Unknown,Unknown,149805,1705
